Category,Key,English,Russian,Notes
main menu,menu1,Continue Game,Продолжить,
,menu2,Start Game with Tutorial,Новая игра, WARNING: ENGLISH TEXT CHANGED #####################################################
,menu3,Start Game,Начать пользовательскую игру, WARNING: ENGLISH TEXT CHANGED ##################################################### WARNING: ENGLISH TEXT CHANGED #####################################################
,menu4,Options,Настройки,
,menu6,Credits,Титры, WARNING: AUTO-TRANSLATION #####################################################
,menu5,Quit Game,Выйти из игры,
,menu7,Save Manager,Менеджер Сохранений, WARNING: AUTO-TRANSLATION #####################################################
,menu8,Atlas,Атлас предметов, WARNING: AUTO-TRANSLATION ##################################################### WARNING: ENGLISH TEXT CHANGED #####################################################
credits,cr1,Backpack Hero was created by:,Backpack Hero был создан:, WARNING: AUTO-TRANSLATION #####################################################
,cr2,Translators:,Переводчики:, WARNING: AUTO-TRANSLATION #####################################################
,cr3,Additional content by:,Дополнительный контент:, WARNING: AUTO-TRANSLATION #####################################################
,cr4,All rights owned by:,Все права принадлежат:, WARNING: AUTO-TRANSLATION #####################################################
,cr5,Fonts:,Шрифты:, WARNING: AUTO-TRANSLATION #####################################################
,cr6,Created with:,Создано с помощью:, WARNING: AUTO-TRANSLATION #####################################################
,cr7,Special Thanks:,Специальная благодарность:, WARNING: AUTO-TRANSLATION #####################################################
,cr8,Kickstarter supporters:,Поддержавшие Kickstarter:, WARNING: AUTO-TRANSLATION #####################################################
Early Access,earlyAccess1,"A message from developer Jas: <br><br>Thank you so much for supporting our game in early access! Backpack Hero isn't finished! New features and content is coming soon! If you have any concerns about the game, please contact us! We try to respond to everything we can on our social media and on Steam!","Сообщение от разработчика Jas: <br><br>Большое спасибо за поддержку нашей игры в раннем доступе! Backpack Hero еще не закончен! Скоро появятся больше функций и новый контент! Если у вас есть какие-либо вопросы по поводу игры, пожалуйста, свяжитесь с нами! Мы стараемся отвечать на все, что можем, в наших социальных сетях и в Steam!", WARNING: AUTO-TRANSLATION #####################################################
,earlyAccess2,Next Major Update:,Следующее крупное обновление:, WARNING: AUTO-TRANSLATION #####################################################
,earlyAccess3,September,Сентябрь, WARNING: AUTO-TRANSLATION #####################################################
,earlyAccess4,New Character - Satchel,Новый персонаж - Ранец, WARNING: AUTO-TRANSLATION #####################################################
,earlyAccess5,Thank you! From:,Особое Спасибо! От:, WARNING: AUTO-TRANSLATION #####################################################
demo Text,demo1,New characters and costumes are available in the full version!,В полной версии доступны новые персонажи и костюмы!, WARNING: AUTO-TRANSLATION #####################################################
,demo2,Please wishlist and follow us on Steam now!,"Пожалуйста, добавьте игру в список желаемого и подписывайтесь на нас в Steam прямо сейчас!", WARNING: AUTO-TRANSLATION #####################################################
,demo3,Early Access begins August 2022!,Ранний доступ начинается в августе 2022 года!, WARNING: AUTO-TRANSLATION #####################################################
,demo4,CR-8 coming July 2022!,О-8К выйдет в июле 2022 года!, WARNING: AUTO-TRANSLATION #####################################################
options,opt1,Music Volume,Громкость музыки,
,opt2,SFX Volume,Громкость эффектов,
,opt3,Item Animation Speed,Скорость анимации,
,opt4,Brightness,Яркость,
,opt5,Rotate,Поворот,
,optt1,Emojis,Смайлики, WARNING: AUTO-TRANSLATION #####################################################
,optt2,Combat Animations,Боевые анимации, WARNING: AUTO-TRANSLATION #####################################################
